survived,age,sex,pclass,embarked
1,38.0,female,1,C
1,35.0,female,1,S
0,54.0,male,1,S
1,4.0,female,3,S
1,58.0,female,1,S
1,34.0,male,2,S
1,28.0,male,1,S
0,19.0,male,1,S
1,49.0,female,1,C
0,65.0,male,1,C
0,45.0,male,1,S
1,29.0,female,2,S
0,25.0,male,3,S
1,23.0,female,1,S
0,46.0,male,1,S
0,71.0,male,1,C
1,23.0,male,1,C
0,21.0,male,1,S
0,47.0,male,1,S
0,24.0,male,1,C
1,32.5,female,2,S
0,54.0,male,1,S
1,19.0,female,1,S
0,37.0,male,1,S
0,24.0,male,1,C
0,36.5,male,2,S
1,22.0,female,1,S
0,61.0,male,1,S
0,56.0,male,1,C
0,50.0,female,1,C
1,1.0,male,2,S
1,3.0,male,2,S
1,44.0,female,1,C
1,58.0,female,1,C
0,2.0,female,3,S
1,40.0,male,1,C
1,31.0,female,1,C
1,32.0,female,1,C
1,38.0,male,1,S
1,35.0,female,1,S
0,44.0,male,1,Q
1,37.0,male,1,S
0,29.0,female,3,S
0,62.0,male,1,S
1,30.0,female,1,S
0,52.0,male,1,S
0,40.0,male,1,S
1,58.0,female,1,S
1,35.0,female,1,S
0,37.0,male,1,C
1,63.0,female,1,S
1,19.0,female,1,C
0,36.0,male,2,C
0,2.0,female,1,S
1,50.0,female,1,C
1,0.92,male,1,S
1,17.0,female,1,C
1,30.0,female,1,C
1,24.0,female,1,C
1,18.0,female,1,C
1,31.0,female,1,S
1,40.0,female,1,C
1,36.0,female,1,C
1,36.0,female,2,S
1,16.0,female,1,C
0,45.5,male,1,S
0,38.0,male,1,S
0,29.0,male,1,S
1,41.0,female,1,C
0,45.0,male,1,S
1,2.0,male,2,S
1,24.0,female,1,S
1,24.0,female,2,S
1,22.0,female,1,S
1,60.0,female,1,C
1,24.0,female,1,C
1,25.0,male,1,C
0,27.0,male,1,C
1,36.0,male,1,S
1,23.0,female,1,C
1,24.0,female,3,S
1,33.0,female,1,Q
1,32.0,male,3,S
1,28.0,male,1,S
0,50.0,male,1,S
1,14.0,female,1,S
0,64.0,male,1,S
1,4.0,male,1,S
1,52.0,male,1,S
0,30.0,male,1,C
1,49.0,male,1,C
0,65.0,male,1,S
1,48.0,male,1,S
0,47.0,male,1,S
1,23.0,female,2,C
1,25.0,male,1,C
1,35.0,female,1,S
0,58.0,male,1,C
0,55.0,male,1,S
1,54.0,female,1,C
0,25.0,female,1,S
1,16.0,female,1,S
0,18.0,male,1,C
1,36.0,male,1,S
0,47.0,male,1,S
1,34.0,female,2,S
1,30.0,female,1,S
1,44.0,female,1,C
0,45.0,male,1,S
1,22.0,female,1,C
1,36.0,female,1,S
0,50.0,male,1,C
1,17.0,male,1,C
1,48.0,female,1,C
1,39.0,female,1,S
1,53.0,female,1,S
1,36.0,male,1,S
1,39.0,female,1,S
1,39.0,female,1,C
0,36.0,male,1,C
1,18.0,female,1,S
1,60.0,male,1,C
1,52.0,female,1,C
1,49.0,male,1,C
1,40.0,female,1,S
1,4.0,female,2,S
1,42.0,male,1,S
0,61.0,male,1,S
1,21.0,female,1,S
1,80.0,male,1,S
1,32.0,male,1,C
1,24.0,female,1,C
1,48.0,male,1,C
1,56.0,male,1,C
0,58.0,male,1,C
0,47.0,male,1,S
0,31.0,male,1,S
1,36.0,male,1,C
1,27.0,male,1,C
1,15.0,female,1,S
1,31.0,male,1,S
0,49.0,male,1,C
0,42.0,male,3,S
1,18.0,female,1,C
1,35.0,male,1,S
1,42.0,male,1,S
1,24.0,female,1,C
1,48.0,male,1,S
0,19.0,male,3,S
1,38.0,female,1,C
1,27.0,female,2,S
1,27.0,male,1,S
1,29.0,female,1,S
1,35.0,male,1,C
0,36.0,male,1,S
1,21.0,female,1,C
0,70.0,male,1,S
0,19.0,male,1,S
1,6.0,male,3,S
1,33.0,female,1,S
1,36.0,female,1,S
1,51.0,female,1,S
0,57.0,female,2,S
1,43.0,female,1,S
1,17.0,female,1,S
0,29.0,male,1,S
0,46.0,male,1,C
1,49.0,female,1,S
1,11.0,male,1,S
0,39.0,male,1,S
1,33.0,female,1,S
1,52.0,female,1,S
1,27.0,female,3,S
1,39.0,female,1,C
1,16.0,female,1,S
1,51.0,male,1,S
1,48.0,female,1,S
0,31.0,male,1,S
1,47.0,female,1,S
0,33.0,male,1,S
1,56.0,female,1,C
1,19.0,female,1,S
1,26.0,male,1,C
